"country_code","year","conference","delegates","location","polity2","regqual","distance","opecdummy","logpop","logco2percap","loggdppercap","unsc","g20","envministry","envrecipient","envdonor","envcpia","envtreaty","logbiodiversity","wbeb","cdmdonor","cdmhost","foodprod","lognatdiaster","loggefdon","corrupt_control","corrupt_perception","corrupt_parking","fossil_fuel_use","log_fossil_fuel_use","dem_dummy"
"ALB",2015,"COP21",21,"Paris",9,0.186667815,1603.534,0,6.459498485,0.184691431,3.597039167,0,0,NA,NA,NA,NA,NA,-0.719114896,0,0,1,NA,0,NA,-0.545840263366699,36,85.5,NA,NA,1
"ARG",2015,"COP21",23,"Paris",9,-0.911441922,11072.25,0,7.637667464,0.643452676,4.129274161,0,1,NA,NA,NA,NA,NA,1.258046695,0,0,0,NA,0,NA,-0.098668172955513,32,4,870.1498,6.76866538073473,1
"AUS",2015,"COP21",45,"Paris",10,1.78868413,16975.46,0,7.376382357,1.269979677,4.752463625,0,1,NA,NA,NA,NA,NA,1.962484145,0,1,0,NA,2.790988475,NA,1.76737761497498,79,0,1500.9393,7.31384639110889,1
"BEL",2015,"COP21",74,"Paris",8,1.287758946,262.3845,0,7.052085581,0.933487288,4.60591753,0,0,NA,NA,NA,NA,NA,-1.935735277,1,0,0,NA,NA,NA,1.42942035198212,77,2.7,545.295,6.30132693262535,1
"BEN",2015,"COP21",137,"Paris",7,-0.563028872,4726.537,0,7.024319471,-0.27572413,2.894286753,0,0,NA,NA,NA,3.5,NA,-0.633145932,0,0,0,NA,0,NA,-0.391388416290283,37,50.4,NA,NA,1
"BOL",2015,"COP21",26,"Paris",7,-0.885823071,10038.45,0,7.030385355,0.227886705,3.488131194,0,0,NA,NA,NA,3.5,NA,1.120516344,0,0,0,NA,0,NA,-0.688172459602356,34,3.1,NA,NA,1
"BRA",2015,"COP21",217,"Paris",8,-0.19265525,9408.406,0,8.313787328,0.369215857,3.942365576,0,1,NA,NA,NA,NA,NA,2,1,0,1,NA,0,NA,-0.480606287717819,38,30.3,2070.9087,7.63574277544071,1
"CAN",2015,"COP21",287,"Paris",10,1.717661262,6004.645,0,7.554472321,1.188928484,4.636645342,0,1,NA,NA,NA,NA,NA,1.339535532,1,0,0,NA,4.115177666,NA,1.78985774517059,83,0,2610.2627,7.86720614659273,1
"CHL",2015,"COP21",149,"Paris",10,1.345231652,11663.39,0,7.249508516,0.655138435,4.135235292,1,0,NA,NA,NA,NA,NA,1.197027624,1,0,1,NA,1.51851394,NA,0.958148717880249,70,16.7,323.49213,5.77917478597888,1
"COL",2015,"COP21",78,"Paris",7,0.46542725,8707.677,0,7.683305529,0.225309282,3.781362218,0,0,NA,NA,NA,NA,NA,1.735504206,0,0,1,NA,0,NA,-0.339970648288727,37,0,349.08905,5.85532704724839,1
"COM",2015,"COP21",70,"Paris",9,-1.029054999,7842.67,0,5.890657944,-0.853871964,2.861920377,0,0,NA,NA,NA,3,NA,0.353334192,0,0,0,NA,NA,NA,-0.851346492767334,26,10.1,NA,NA,1
